ano,mes,ONI,data
1964,7,-0.96,1964-07-01
1964,8,-1.26,1964-08-01
1964,9,-1.4,1964-09-01
1964,10,-1.35,1964-10-01
1964,11,-1.44,1964-11-01
1964,12,-1.37,1964-12-01
1965,1,-0.89,1965-01-01
1965,2,-0.56,1965-02-01
1965,3,-0.34,1965-03-01
1965,4,-0.44,1965-04-01
1965,5,0.06,1965-05-01
1965,6,0.36,1965-06-01
1965,7,0.61,1965-07-01
1965,8,1.12,1965-08-01
1965,9,1.29,1965-09-01
1965,10,1.45,1965-10-01
1965,11,1.42,1965-11-01
1965,12,1.36,1965-12-01
1966,1,1.12,1966-01-01
1966,2,0.8,1966-02-01
1966,3,0.93,1966-03-01
1966,4,0.35,1966-04-01
1966,5,-0.38,1966-05-01
1966,6,-0.08,1966-06-01
1966,7,0.04,1966-07-01
1966,8,-0.37,1966-08-01
1966,9,-0.44,1966-09-01
1966,10,-0.5,1966-10-01
1966,11,-0.47,1966-11-01
1966,12,-0.57,1966-12-01
1967,1,-0.67,1967-01-01
1967,2,-0.64,1967-02-01
1967,3,-0.78,1967-03-01
1967,4,-1.08,1967-04-01
1967,5,-0.59,1967-05-01
1967,6,-0.26,1967-06-01
1967,7,-0.33,1967-07-01
1967,8,-0.42,1967-08-01
1967,9,-0.86,1967-09-01
1967,10,-0.74,1967-10-01
1967,11,-0.62,1967-11-01
1967,12,-0.65,1967-12-01
1968,1,-0.85,1968-01-01
1968,2,-1.07,1968-02-01
1968,3,-0.95,1968-03-01
1968,4,-0.72,1968-04-01
1968,5,-0.75,1968-05-01
1968,6,0.15,1968-06-01
1968,7,0.28,1968-07-01
1968,8,0.16,1968-08-01
1968,9,0.01,1968-09-01
1968,10,0.04,1968-10-01
1968,11,0.5,1968-11-01
1968,12,0.67,1968-12-01
1969,1,0.95,1969-01-01
1969,2,1.11,1969-02-01
1969,3,0.54,1969-03-01
1969,4,0.31,1969-04-01
1969,5,0.35,1969-05-01
1969,6,-0.04,1969-06-01
1969,7,-0.21,1969-07-01
1969,8,0.16,1969-08-01
1969,9,0.43,1969-09-01
1969,10,0.62,1969-10-01
1969,11,0.4,1969-11-01
1969,12,0.38,1969-12-01
1970,1,0.28,1970-01-01
1970,2,0.2,1970-02-01
1970,3,-0.14,1970-03-01
1970,4,-0.08,1970-04-01
1970,5,-0.3,1970-05-01
1970,6,-0.69,1970-06-01
1970,7,-1.08,1970-07-01
1970,8,-1.26,1970-08-01
1970,9,-1.07,1970-09-01
1970,10,-1.12,1970-10-01
1970,11,-1.13,1970-11-01
1970,12,-1.33,1970-12-01
1971,1,-1.73,1971-01-01
1971,2,-1.57,1971-02-01
1971,3,-1.36,1971-03-01
1971,4,-1.18,1971-04-01
1971,5,-0.98,1971-05-01
1971,6,-1.13,1971-06-01
1971,7,-1.17,1971-07-01
1971,8,-1.1,1971-08-01
1971,9,-1.0,1971-09-01
1971,10,-1.24,1971-10-01
1971,11,-1.15,1971-11-01
1971,12,-1.23,1971-12-01
1972,1,-0.92,1972-01-01
1972,2,-0.45,1972-02-01
1972,3,-0.19,1972-03-01
1972,4,0.07,1972-04-01
