ano,mes,ONI,data
2020,1,0.6,2020-01-01
2020,2,0.37,2020-02-01
2020,3,0.48,2020-03-01
2020,4,0.36,2020-04-01
2020,5,-0.27,2020-05-01
2020,6,-0.34,2020-06-01
2020,7,-0.3,2020-07-01
2020,8,-0.59,2020-08-01
2020,9,-0.83,2020-09-01
2020,10,-1.26,2020-10-01
2020,11,-1.42,2020-11-01
2020,12,-1.15,2020-12-01
2021,1,-1.0,2021-01-01
2021,2,-1.0,2021-02-01
2021,3,-0.8,2021-03-01
2021,4,-0.72,2021-04-01
2021,5,-0.46,2021-05-01
2021,6,-0.28,2021-06-01
2021,7,-0.39,2021-07-01
2021,8,-0.53,2021-08-01
2021,9,-0.55,2021-09-01
2021,10,-0.94,2021-10-01
2021,11,-0.94,2021-11-01
2021,12,-1.06,2021-12-01
2022,1,-0.94,2022-01-01
2022,2,-0.89,2022-02-01
2022,3,-0.97,2022-03-01
2022,4,-1.11,2022-04-01
2022,5,-1.11,2022-05-01
2022,6,-0.75,2022-06-01
2022,7,-0.69,2022-07-01
2022,8,-0.97,2022-08-01
2022,9,-1.07,2022-09-01
2022,10,-0.99,2022-10-01
2022,11,-0.9,2022-11-01
2022,12,-0.85,2022-12-01
2023,1,-0.72,2023-01-01
2023,2,-0.46,2023-02-01
2023,3,-0.11,2023-03-01
2023,4,0.14,2023-04-01
2023,5,0.46,2023-05-01
2023,6,0.84,2023-06-01
2023,7,1.02,2023-07-01
2023,8,1.35,2023-08-01
2023,9,1.6,2023-09-01
2023,10,1.72,2023-10-01
2023,11,2.02,2023-11-01
2023,12,2.03,2023-12-01
2024,1,1.81,2024-01-01
2024,2,1.52,2024-02-01
2024,3,1.13,2024-03-01
2024,4,0.77,2024-04-01
2024,5,0.23,2024-05-01
2024,6,0.17,2024-06-01
2024,7,0.04,2024-07-01
2024,8,-0.12,2024-08-01
2024,9,-0.26,2024-09-01
2024,10,-0.27,2024-10-01
2024,11,-0.25,2024-11-01
2024,12,-0.6,2024-12-01
2025,1,-0.74,2025-01-01
2025,2,-0.43,2025-02-01
2025,3,0.01,2025-03-01
2025,4,-0.14,2025-04-01
2025,5,-0.13,2025-05-01
2025,6,-0.07,2025-06-01
2025,7,-0.14,2025-07-01
2025,8,-0.36,2025-08-01
2025,9,-0.47,2025-09-01
2025,10,-0.5,2025-10-01
2025,11,-0.7,2025-11-01
2025,12,-0.67,2025-12-01
2026,1,-0.58,2026-01-01
2026,2,-0.27,2026-02-01
2026,3,-0.06,2026-03-01
